, ,Number of genomes,gene_class
857,Cluster 857,1,accessory
858,Cluster 858,1,accessory
859,Cluster 859,1,accessory
860,Cluster 860,1,accessory
861,Cluster 861,1,accessory
862,Cluster 862,1,accessory
863,Cluster 863,1,accessory
864,Cluster 864,1,accessory
865,Cluster 865,1,accessory
866,Cluster 866,1,accessory
867,Cluster 867,1,accessory
868,Cluster 868,1,accessory
869,Cluster 869,1,accessory
870,Cluster 870,1,accessory
871,Cluster 871,1,accessory
872,Cluster 872,1,accessory
873,Cluster 873,1,accessory
874,Cluster 874,1,accessory
875,Cluster 875,1,accessory
876,Cluster 876,2,accessory
877,Cluster 877,1,accessory
878,Cluster 878,1,accessory
879,Cluster 879,1,accessory
880,Cluster 880,1,accessory
881,Cluster 881,1,accessory
882,Cluster 882,1,accessory
883,Cluster 883,1,accessory
884,Cluster 884,1,accessory
885,Cluster 885,1,accessory
886,Cluster 886,1,accessory
887,Cluster 887,1,accessory
888,Cluster 888,1,accessory
889,Cluster 889,1,accessory
890,Cluster 890,1,accessory
891,Cluster 891,1,accessory
892,Cluster 892,1,accessory
893,Cluster 893,1,accessory
894,Cluster 894,1,accessory
895,Cluster 895,1,accessory
896,Cluster 896,1,accessory
897,Cluster 897,1,accessory
898,Cluster 898,1,accessory
899,Cluster 899,1,accessory
900,Cluster 900,1,accessory
901,Cluster 901,1,accessory
902,Cluster 902,1,accessory
903,Cluster 903,2,accessory
904,Cluster 904,1,accessory
905,Cluster 905,1,accessory
906,Cluster 906,1,accessory
907,Cluster 907,1,accessory
908,Cluster 908,1,accessory
909,Cluster 909,1,accessory
910,Cluster 910,1,accessory
911,Cluster 911,1,accessory
912,Cluster 912,1,accessory
913,Cluster 913,1,accessory
914,Cluster 914,1,accessory
915,Cluster 915,1,accessory
916,Cluster 916,1,accessory
917,Cluster 917,1,accessory
918,Cluster 918,1,accessory
919,Cluster 919,1,accessory
920,Cluster 920,1,accessory
921,Cluster 921,1,accessory
922,Cluster 922,1,accessory
923,Cluster 923,1,accessory
924,Cluster 924,1,accessory
925,Cluster 925,1,accessory
926,Cluster 926,1,accessory
927,Cluster 927,1,accessory
928,Cluster 928,1,accessory
