, ,Number of genomes
546,Cluster 546,1
547,Cluster 547,1
548,Cluster 548,1
549,Cluster 549,1
550,Cluster 550,1
551,Cluster 551,1
552,Cluster 552,1
553,Cluster 553,1
554,Cluster 554,1
555,Cluster 555,1
556,Cluster 556,1
557,Cluster 557,1
558,Cluster 558,1
559,Cluster 559,1
560,Cluster 560,1
561,Cluster 561,1
562,Cluster 562,1
563,Cluster 563,1
564,Cluster 564,1
565,Cluster 565,1
566,Cluster 566,1
567,Cluster 567,1
568,Cluster 568,1
569,Cluster 569,1
570,Cluster 570,1
571,Cluster 571,1
572,Cluster 572,1
573,Cluster 573,1
574,Cluster 574,1
575,Cluster 575,1
576,Cluster 576,1
577,Cluster 577,1
578,Cluster 578,1
579,Cluster 579,1
580,Cluster 580,1
581,Cluster 581,1
582,Cluster 582,1
583,Cluster 583,1
584,Cluster 584,1
585,Cluster 585,1
586,Cluster 586,1
587,Cluster 587,1
588,Cluster 588,1
589,Cluster 589,1
590,Cluster 590,1
591,Cluster 591,1
592,Cluster 592,1
593,Cluster 593,1
594,Cluster 594,1
595,Cluster 595,1
596,Cluster 596,1
597,Cluster 597,1
598,Cluster 598,1
599,Cluster 599,1
600,Cluster 600,1
601,Cluster 601,1
602,Cluster 602,1
603,Cluster 603,1
604,Cluster 604,1
605,Cluster 605,1
606,Cluster 606,1
607,Cluster 607,1
608,Cluster 608,1
609,Cluster 609,1
610,Cluster 610,1
611,Cluster 611,1
612,Cluster 612,1
613,Cluster 613,1
614,Cluster 614,1
615,Cluster 615,1
616,Cluster 616,1
617,Cluster 617,1
618,Cluster 618,1
619,Cluster 619,1
620,Cluster 620,1
621,Cluster 621,1
622,Cluster 622,1
623,Cluster 623,1
624,Cluster 624,1
625,Cluster 625,1
626,Cluster 626,1
627,Cluster 627,1
628,Cluster 628,1
629,Cluster 629,1
630,Cluster 630,1
631,Cluster 631,1
632,Cluster 632,1
633,Cluster 633,1
634,Cluster 634,1
635,Cluster 635,1
636,Cluster 636,1
637,Cluster 637,1
638,Cluster 638,1
639,Cluster 639,1
640,Cluster 640,1
641,Cluster 641,1
642,Cluster 642,1
643,Cluster 643,1
644,Cluster 644,1
645,Cluster 645,1
646,Cluster 646,1
647,Cluster 647,1
648,Cluster 648,1
649,Cluster 649,1
650,Cluster 650,1
651,Cluster 651,1
652,Cluster 652,1
653,Cluster 653,1
654,Cluster 654,1
655,Cluster 655,1
656,Cluster 656,1
657,Cluster 657,1
658,Cluster 658,1
659,Cluster 659,1
660,Cluster 660,1
661,Cluster 661,1
662,Cluster 662,1
663,Cluster 663,1
664,Cluster 664,1
665,Cluster 665,1
666,Cluster 666,1
667,Cluster 667,1
668,Cluster 668,1
669,Cluster 669,1
670,Cluster 670,1
671,Cluster 671,1
672,Cluster 672,1
673,Cluster 673,1
674,Cluster 674,1
675,Cluster 675,1
676,Cluster 676,1
677,Cluster 677,1
678,Cluster 678,1
679,Cluster 679,1
