, ,Number of genomes
3378,Cluster 3378,1
3379,Cluster 3379,1
3380,Cluster 3380,1
3381,Cluster 3381,1
3382,Cluster 3382,1
3383,Cluster 3383,1
3384,Cluster 3384,1
3385,Cluster 3385,1
3386,Cluster 3386,1
3387,Cluster 3387,1
3388,Cluster 3388,1
3389,Cluster 3389,1
3390,Cluster 3390,1
3391,Cluster 3391,1
3392,Cluster 3392,1
3393,Cluster 3393,1
3394,Cluster 3394,1
3395,Cluster 3395,1
3396,Cluster 3396,1
3397,Cluster 3397,1
3398,Cluster 3398,1
3399,Cluster 3399,1
3400,Cluster 3400,1
3401,Cluster 3401,1
3402,Cluster 3402,1
3403,Cluster 3403,1
3404,Cluster 3404,1
3405,Cluster 3405,1
3406,Cluster 3406,1
3407,Cluster 3407,1
3408,Cluster 3408,1
3409,Cluster 3409,1
3410,Cluster 3410,1
3411,Cluster 3411,1
3412,Cluster 3412,1
3413,Cluster 3413,1
3414,Cluster 3414,1
3415,Cluster 3415,1
3416,Cluster 3416,1
3417,Cluster 3417,1
3418,Cluster 3418,1
3419,Cluster 3419,1
3420,Cluster 3420,1
3421,Cluster 3421,1
3422,Cluster 3422,1
3423,Cluster 3423,1
3424,Cluster 3424,1
3425,Cluster 3425,1
3426,Cluster 3426,1
3427,Cluster 3427,1
3428,Cluster 3428,1
3429,Cluster 3429,1
3430,Cluster 3430,1
3431,Cluster 3431,1
3432,Cluster 3432,1
3433,Cluster 3433,1
3434,Cluster 3434,1
3435,Cluster 3435,1
3436,Cluster 3436,1
3437,Cluster 3437,1
3438,Cluster 3438,1
3439,Cluster 3439,1
3440,Cluster 3440,1
3441,Cluster 3441,1
3442,Cluster 3442,1
3443,Cluster 3443,1
3444,Cluster 3444,1
3445,Cluster 3445,1
3446,Cluster 3446,1
3447,Cluster 3447,1
3448,Cluster 3448,1
3449,Cluster 3449,1
3450,Cluster 3450,1
3451,Cluster 3451,1
3452,Cluster 3452,1
3453,Cluster 3453,1
3454,Cluster 3454,1
3455,Cluster 3455,1
3456,Cluster 3456,1
3457,Cluster 3457,1
3458,Cluster 3458,1
3459,Cluster 3459,1
3460,Cluster 3460,1
3461,Cluster 3461,1
3462,Cluster 3462,2
3463,Cluster 3463,1
3464,Cluster 3464,1
3465,Cluster 3465,1
3466,Cluster 3466,1
3467,Cluster 3467,1
3468,Cluster 3468,1
3469,Cluster 3469,1
3470,Cluster 3470,1
3471,Cluster 3471,1
3472,Cluster 3472,1
3473,Cluster 3473,1
3474,Cluster 3474,1
3475,Cluster 3475,1
3476,Cluster 3476,1
3477,Cluster 3477,1
3478,Cluster 3478,1
3479,Cluster 3479,1
3480,Cluster 3480,1
3481,Cluster 3481,1
3482,Cluster 3482,1
3483,Cluster 3483,1
3484,Cluster 3484,1
3485,Cluster 3485,1
3486,Cluster 3486,1
3487,Cluster 3487,1
3488,Cluster 3488,1
3489,Cluster 3489,1
3490,Cluster 3490,1
3491,Cluster 3491,1
3492,Cluster 3492,1
3493,Cluster 3493,1
3494,Cluster 3494,1
3495,Cluster 3495,1
3496,Cluster 3496,1
3497,Cluster 3497,1
3498,Cluster 3498,1
3499,Cluster 3499,1
3500,Cluster 3500,1
3501,Cluster 3501,1
3502,Cluster 3502,1
3503,Cluster 3503,1
3504,Cluster 3504,1
3505,Cluster 3505,1
3506,Cluster 3506,1
3507,Cluster 3507,1
3508,Cluster 3508,1
3509,Cluster 3509,1
3510,Cluster 3510,1
3511,Cluster 3511,1
3512,Cluster 3512,1
3513,Cluster 3513,1
3514,Cluster 3514,1
3515,Cluster 3515,2
3516,Cluster 3516,1
3517,Cluster 3517,1
3518,Cluster 3518,1
3519,Cluster 3519,1
3520,Cluster 3520,1
3521,Cluster 3521,1
3522,Cluster 3522,1
3523,Cluster 3523,1
3524,Cluster 3524,1
3525,Cluster 3525,1
3526,Cluster 3526,1
3527,Cluster 3527,1
3528,Cluster 3528,1
3529,Cluster 3529,1
3530,Cluster 3530,1
3531,Cluster 3531,1
3532,Cluster 3532,1
3533,Cluster 3533,1
3534,Cluster 3534,1
3535,Cluster 3535,1
3536,Cluster 3536,1
3537,Cluster 3537,1
3538,Cluster 3538,1
3539,Cluster 3539,1
3540,Cluster 3540,2
3541,Cluster 3541,1
3542,Cluster 3542,1
3543,Cluster 3543,1
3544,Cluster 3544,1
3545,Cluster 3545,1
3546,Cluster 3546,1
3547,Cluster 3547,1
3548,Cluster 3548,1
3549,Cluster 3549,1
3550,Cluster 3550,1
3551,Cluster 3551,1
3552,Cluster 3552,1
3553,Cluster 3553,1
3554,Cluster 3554,1
3555,Cluster 3555,1
3556,Cluster 3556,2
3557,Cluster 3557,1
3558,Cluster 3558,1
3559,Cluster 3559,1
3560,Cluster 3560,1
3561,Cluster 3561,1
3562,Cluster 3562,1
3563,Cluster 3563,1
3564,Cluster 3564,1
3565,Cluster 3565,1
3566,Cluster 3566,1
3567,Cluster 3567,1
3568,Cluster 3568,1
3569,Cluster 3569,1
3570,Cluster 3570,1
3571,Cluster 3571,1
3572,Cluster 3572,1
3573,Cluster 3573,1
3574,Cluster 3574,1
3575,Cluster 3575,1
3576,Cluster 3576,1
3577,Cluster 3577,1
3578,Cluster 3578,1
3579,Cluster 3579,1
3580,Cluster 3580,1
3581,Cluster 3581,1
3582,Cluster 3582,1
3583,Cluster 3583,1
3584,Cluster 3584,1
3585,Cluster 3585,1
3586,Cluster 3586,1
3587,Cluster 3587,1
3588,Cluster 3588,1
3589,Cluster 3589,1
3590,Cluster 3590,1
3591,Cluster 3591,1
3592,Cluster 3592,1
3593,Cluster 3593,1
3594,Cluster 3594,1
3595,Cluster 3595,1
3596,Cluster 3596,1
3597,Cluster 3597,1
3598,Cluster 3598,1
3599,Cluster 3599,1
3600,Cluster 3600,1
3601,Cluster 3601,1
3602,Cluster 3602,1
3603,Cluster 3603,1
3604,Cluster 3604,1
3605,Cluster 3605,1
3606,Cluster 3606,1
3607,Cluster 3607,1
3608,Cluster 3608,1
3609,Cluster 3609,1
3610,Cluster 3610,1
3611,Cluster 3611,1
3612,Cluster 3612,1
3613,Cluster 3613,1
3614,Cluster 3614,1
3615,Cluster 3615,1
3616,Cluster 3616,1
3617,Cluster 3617,1
3618,Cluster 3618,1
3619,Cluster 3619,1
3620,Cluster 3620,1
3621,Cluster 3621,1
3622,Cluster 3622,1
3623,Cluster 3623,1
3624,Cluster 3624,1
3625,Cluster 3625,1
3626,Cluster 3626,1
3627,Cluster 3627,1
3628,Cluster 3628,1
3629,Cluster 3629,1
3630,Cluster 3630,1
3631,Cluster 3631,1
3632,Cluster 3632,1
3633,Cluster 3633,1
3634,Cluster 3634,1
3635,Cluster 3635,1
3636,Cluster 3636,1
3637,Cluster 3637,1
3638,Cluster 3638,1
3639,Cluster 3639,1
3640,Cluster 3640,1
3641,Cluster 3641,1
3642,Cluster 3642,1
3643,Cluster 3643,1
3644,Cluster 3644,1
3645,Cluster 3645,1
3646,Cluster 3646,1
3647,Cluster 3647,1
3648,Cluster 3648,1
3649,Cluster 3649,1
3650,Cluster 3650,1
3651,Cluster 3651,1
3652,Cluster 3652,1
3653,Cluster 3653,1
3654,Cluster 3654,1
3655,Cluster 3655,1
3656,Cluster 3656,1
3657,Cluster 3657,1
3658,Cluster 3658,1
3659,Cluster 3659,1
3660,Cluster 3660,1
3661,Cluster 3661,1
3662,Cluster 3662,1
3663,Cluster 3663,1
3664,Cluster 3664,1
3665,Cluster 3665,1
3666,Cluster 3666,1
3667,Cluster 3667,1
3668,Cluster 3668,1
3669,Cluster 3669,1
3670,Cluster 3670,1
3671,Cluster 3671,1
